ProductID,CategoryID
1,8
2,1
3,11
4,7
5,11
6,5
7,10
8,6
9,7
10,2
11,10
12,10
13,5
14,7
15,10
16,3
17,5
18,7
19,5
20,1
21,11
22,8
23,2
24,5
25,10
26,6
27,1
28,5
29,11
30,4
31,8
32,11
33,11
34,11
35,5
36,10
37,8
38,11
39,11
40,10
41,10
42,8
43,1
44,5
45,7
46,7
47,11
48,1
49,5
50,7
51,5
52,11
53,5
54,11
55,1
56,8
57,7
58,7
59,1
60,11
61,6
62,11
63,1
64,5
65,5
66,1
67,5
68,11
69,11
70,6
71,4
72,8
73,7
74,5
75,10
76,5
77,11
78,5
79,8
80,11
81,1
82,5
83,7
84,11
85,4
86,9
87,5
88,5
89,7
90,5
91,10
92,5
93,10
94,5
95,11
96,4
97,7
98,2
99,11
100,7
101,11
102,11
103,11
104,5
105,10
106,6
107,8
108,8
109,8
110,11
111,2
112,1
113,5
114,7
115,5
116,10
117,11
118,10
119,11
120,5
121,8
122,10
123,4
124,1
125,11
126,8
127,5
128,5
129,11
130,7
131,6
132,5
133,7
134,7
135,7
136,1
137,5
138,5
139,9
140,11
141,5
142,7
143,11
144,10
145,5
146,11
147,4
148,5
149,11
150,5
151,11
152,11
153,5
154,1
155,11
156,11
157,5
158,11
159,11
160,7
161,9
162,7
163,11
164,11
165,8
166,10
167,10
168,4
169,5
170,2
171,10
172,5
173,11
174,9
175,4
176,5
177,11
178,5
179,4
180,1
181,8
182,5
183,11
184,1
185,10
186,4
187,11
188,10
189,8
190,1
191,7
192,5
193,7
194,11
195,11
196,6
197,2
198,5
199,7
200,11
201,5
202,11
203,9
204,6
205,9
206,11
207,5
208,11
209,1
210,4
211,5
212,11
213,5
214,1
215,7
216,6
217,8
218,6
219,1
220,5
221,8
222,6
223,10
224,8
225,5
226,11
227,4
228,4
229,8
230,5
231,5
232,1
233,9
234,11
235,8
236,11
237,4
238,11
239,11
240,5
241,4
242,10
243,11
244,7
245,6
246,1
247,5
248,7
249,7
250,11
251,11
252,11
253,8
254,11
255,8
256,11
257,8
258,5
259,7
260,4
261,9
262,8
263,10
264,5
265,11
266,2
267,11
268,11
269,5
270,10
271,11
272,1
273,10
274,11
275,8
276,5
277,6
278,11
279,7
280,11
281,5
282,5
283,8
284,5
285,4
286,7
287,8
288,11
289,10
290,5
291,2
292,9
293,11
294,5
295,5
296,5
297,10
298,5
299,11
300,11
301,5
302,10
303,6
304,11
305,1
306,11
307,10
308,5
309,8
310,5
311,8
312,6
313,7
314,6
315,5
316,4
317,5
318,10
319,10
320,4
321,11
322,11
323,11
324,11
325,6
326,1
327,2
328,6
329,7
330,11
331,1
332,11
333,4
334,10
335,4
336,11
337,8
338,4
339,7
340,7
341,8
342,11
343,11
344,7
345,8
346,4
347,10
348,8
349,5
350,1
351,5
352,7
353,4
354,8
355,11
356,1
357,6
358,4
359,8
360,5
361,5
362,11
363,3
364,11
365,5
366,11
367,8
368,8
369,11
370,8
371,4
372,5
373,7
374,5
375,5
376,8
377,5
378,8
379,11
380,5
381,10
382,11
383,1
384,1
385,7
386,11
387,1
388,10
389,11
390,11
391,8
392,11
393,11
394,5
395,11
396,5
397,5
398,5
399,1
400,5
401,1
402,4
403,10
404,10
405,1
406,2
407,5
408,11
409,10
410,11
411,11
412,11
413,1
414,11
415,2
416,8
417,7
418,8
419,7
420,10
421,5
422,11
423,2
424,11
425,5
426,2
427,5
428,5
429,7
430,4
431,8
432,5
433,11
434,1
435,11
436,10
437,8
438,5
439,7
440,7
441,11
442,5
443,5
444,4
445,1
446,11
447,6
448,5
449,11
450,5
451,11
452,10
